ticker,current_universe_status,qualification,exchange_or_market,stocklookup_candidate,official_source,official_security_status
AGE,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
AMD,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
ASA,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
ATB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
AVF,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
B82,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BBC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BCG,STOCKLOOKUP_ONLY_UNRESOLVED,UNRESOLVED,UPCOM,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BCR,STOCKLOOKUP_ONLY_UNRESOLVED,UNRESOLVED,UPCOM,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BDB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BHT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BII,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BKH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BLW,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BMN,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BSC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
BST,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
C12,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CAB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CAV,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CC4,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CDH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CE1,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CEE,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CEG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CGL,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
CLG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
