ticker,market,outcome,official_control_status_raw,official_control_status,official_trading_status_raw,official_trading_status,explanatory_bucket,target_session_applicability
ART,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
BCG,,CURRENT_PROFILE_NOT_FOUND,,,,,OFFICIAL_STATUS_UNAVAILABLE,NOT_APPLICABLE_NO_PROFILE
BCR,,CURRENT_PROFILE_NOT_FOUND,,,,,OFFICIAL_STATUS_UNAVAILABLE,NOT_APPLICABLE_NO_PROFILE
BCV,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo,WARNING,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
BHG,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo,WARNING,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
BT6,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
CDG,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
CMK,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo,WARNING,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
DAG,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
DAN,,CURRENT_PROFILE_NOT_FOUND,,,,,OFFICIAL_STATUS_UNAVAILABLE,NOT_APPLICABLE_NO_PROFILE
DKC,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo,WARNING,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
DPP,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
DVT,,CURRENT_PROFILE_NOT_FOUND,,,,,OFFICIAL_STATUS_UNAVAILABLE,NOT_APPLICABLE_NO_PROFILE
FBC,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
FHN,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
GH3,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
GLC,UPCOM,CURRENT_PROFILE_FOUND,Hạn chế giao dịch,RESTRICTED,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
GTT,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
HHN,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo,WARNING,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
HLA,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
HLT,UPCOM,CURRENT_PROFILE_FOUND,Hạn chế giao dịch,RESTRICTED,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
HNR,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
HSA,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
ITA,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
KPF,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
KTT,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
LCD,HNX_LISTED,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Hoạt động,ACTIVE,OFFICIALLY_ACTIVE_BUT_NO_RETAINED_BAR,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
LTG,,CURRENT_PROFILE_NOT_FOUND,,,,,OFFICIAL_STATUS_UNAVAILABLE,NOT_APPLICABLE_NO_PROFILE
MHL,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
MTB,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
NAC,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
NDF,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
NHV,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
NSS,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
PID,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
PPI,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
PSH,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
SD8,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
SJF,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
SPI,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
SVH,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
TGG,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
TKA,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
TNA,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
TOP,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
TTB,UPCOM,CURRENT_PROFILE_FOUND,Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
TTZ,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo-Đình chỉ giao dịch -Hạn chế giao dịch,MULTIPLE_RESTRICTIONS,Ngừng giao dịch,SUSPENDED,OFFICIALLY_SUSPENDED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
UMC,UPCOM,CURRENT_PROFILE_FOUND,Cảnh báo,WARNING,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
VCE,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
VCT,UPCOM,CURRENT_PROFILE_FOUND,Hạn chế giao dịch,RESTRICTED,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
VLP,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
VMA,UPCOM,CURRENT_PROFILE_FOUND,Bình thường,NORMAL,Giao dịch đặc biệt,RESTRICTED,OFFICIALLY_RESTRICTED,CURRENT_STATUS_OBSERVED_AFTER_TARGET_SESSION
